suite_name,seed,scenario_id,num_days,disruption_count,disruption_types,disruption_targets,start_times,durations,severities
validation,10000,validation_10000,1,1,station_outage,station_ab,0@9.24,1.50,0.00
validation,10001,validation_10001,2,2,capacity_drop|demand_surge,station_bc|od_ab,0@11.09|1@15.16,1.67|4.00,3.21|2.25
validation,10002,validation_10002,3,4,capacity_drop|capacity_drop|demand_surge|demand_surge,station_ab|station_ab|od_ca|od_ba,0@6.11|1@16.99|1@19.49|2@9.46,2.08|1.75|2.92|1.83,4.59|4.76|2.31|2.14
validation,10003,validation_10003,1,1,station_outage,station_bc,0@9.69,2.00,0.00
validation,10004,validation_10004,2,2,capacity_drop|capacity_drop,station_ab|station_ab,0@11.08|1@12.72,1.92|2.08,3.21|5.17
validation,10005,validation_10005,2,2,station_outage|service_time_inflation,station_ab|station_ab,0@17.02|1@18.01,2.00|2.25,0.00|1.67
validation,10006,validation_10006,2,1,station_outage,station_ab,1@12.80,1.67,0.00
validation,10007,validation_10007,1,1,service_time_inflation,station_ab,0@17.13,1.75,1.61
test_id,20000,test_id_20000,5,5,station_outage|service_time_inflation|service_time_inflation|demand_surge|demand_surge,station_bc|station_bc|station_ab|od_ba|od_cb,0@12.05|1@6.89|1@18.18|3@6.28|4@6.62,1.92|3.58|2.33|4.83|3.75,0.00|2.17|2.02|3.41|3.01
test_id,20001,test_id_20001,5,7,capacity_drop|demand_surge|service_time_inflation|capacity_drop|demand_surge|demand_surge|service_time_inflation,station_bc|od_ac|station_ab|station_ab|od_cb|od_ab|station_bc,0@6.10|0@17.50|1@8.14|1@13.91|2@12.82|2@17.52|4@17.13,3.58|3.83|3.42|2.17|4.00|4.67|3.92,1.02|2.73|2.21|2.72|3.56|3.25|1.72
test_id,20002,test_id_20002,5,10,demand_surge|capacity_drop|station_outage|station_outage|demand_surge|demand_surge|service_time_inflation|station_outage|service_time_inflation|capacity_drop,od_bc|station_bc|station_ab|station_bc|od_ba|od_bc|station_bc|station_ab|station_ab|station_bc,0@8.16|0@17.20|1@6.29|1@12.53|1@15.41|2@14.34|3@10.67|3@19.30|4@8.67|4@16.95,4.08|2.50|2.33|2.83|3.50|4.25|2.83|2.33|3.25|2.58,2.64|1.55|0.00|0.00|3.05|3.45|2.19|0.00|2.03|3.96
test_id,20003,test_id_20003,5,6,station_outage|station_outage|demand_surge|service_time_inflation|demand_surge|demand_surge,station_ab|station_ab|od_ab|station_ab|od_ba|od_bc,0@16.19|1@9.04|1@16.37|2@12.65|3@12.41|4@13.25,2.75|2.58|4.08|3.08|3.25|4.08,0.00|0.00|3.36|1.75|2.98|3.40
test_id,20004,test_id_20004,5,6,station_outage|demand_surge|demand_surge|station_outage|capacity_drop|demand_surge,station_bc|od_ba|od_cb|station_bc|station_bc|od_ac,0@12.11|1@6.20|3@6.07|3@11.30|4@7.46|4@13.39,2.58|4.50|4.67|1.92|3.83|3.00,0.00|3.37|3.43|0.00|1.99|2.46
