site_id,label,type,x_km,y_km,connector_proxy,capacity_scale,availability_proxy
0,City Hub 1,city_hub,0.0,9.595853,4.0,0.6666666865348816,0.15000000596046448
1,City Hub 2,city_hub,11.459033,-9.741738,6.0,1.0,0.8786174058914185
2,City Hub 3,city_hub,177.0,10.61721,6.0,1.0,0.5937265753746033
3,City Hub 4,city_hub,275.0,-13.906044,5.0,0.8333333134651184,0.6369468569755554
4,Service Area 1,service_area,22.0,-0.97174186,6.0,1.0,0.22779977321624756
5,Service Area 2,service_area,73.0,0.61881757,6.0,1.0,0.6029680967330933
6,Service Area 3,service_area,87.03604,1.0526052,5.0,0.8333333134651184,1.0
7,Service Area 4,service_area,118.0,1.2032467,6.0,1.0,0.15000000596046448
8,Service Area 5,service_area,154.31369,0.8858739,8.0,1.3333333730697632,1.0
9,Service Area 6,service_area,205.0,-0.41222355,8.0,1.3333333730697632,0.3826768100261688
10,Service Area 7,service_area,255.0,0.4113744,5.0,0.8333333134651184,0.5247095823287964
11,Exit 1,highway_exit,14.868283,-4.4211593,6.0,1.0,0.7191287279129028
12,Exit 2,highway_exit,36.0,5.6650004,8.0,1.3333333730697632,0.44488704204559326
13,Exit 3,highway_exit,75.272354,-3.4115891,6.0,1.0,0.7806124091148376
14,Exit 4,highway_exit,97.0,-4.6887197,2.0,0.5,0.15000000596046448
15,Exit 5,highway_exit,144.0,-4.4074216,3.0,0.5,0.15000000596046448
16,Exit 6,highway_exit,224.0,-5.7742767,2.0,0.5,0.15000000596046448
17,Exit 7,highway_exit,233.0,4.8161,6.0,1.0,0.45438122749328613
