zone_id,label,type,x_km,y_km,base_demand
0,Metro Demand 1,city,21.273367,-13.790747,12.394952
1,Metro Demand 2,city,260.35983,-15.406232,12.639364
2,Metro Demand 3,city,269.5,14.155657,10.75689
3,Metro Demand 4,city,179.22134,-12.738281,10.715637
4,Suburban Demand 1,suburb,166.12051,-5.058032,5.091905
5,Suburban Demand 2,suburb,20.357689,-10.265733,6.6491303
6,Corridor Demand 1,corridor,156.79672,-1.9277616,4.410474
7,Corridor Demand 2,corridor,135.7774,1.6860756,3.8823464
8,Logistics Demand 1,logistics,159.39088,-1.5268718,4.9609327
9,Logistics Demand 2,logistics,214.4908,-2.4886823,4.5102215
