zone_id,label,type,x_km,y_km,base_demand,zone_scale
0,Metro Demand 1,city,250.71956,-15.816894,11.268737,-0.3133941
1,Metro Demand 2,city,20.128094,-17.826408,13.2678385,-0.2354345
2,Metro Demand 3,city,228.4033,-10.320105,9.003795,0.14101353
3,Metro Demand 4,city,5.2,14.366352,11.822493,0.47484317
4,Suburban Demand 1,suburb,145.9544,8.756781,5.551349,-0.18361777
5,Suburban Demand 2,suburb,242.72627,5.212449,6.0890675,-0.121543914
6,Corridor Demand 1,corridor,42.997353,1.0358295,3.1461282,0.47702175
7,Corridor Demand 2,corridor,46.84247,-1.2474028,3.1888075,0.5923779
8,Logistics Demand 1,logistics,58.52998,2.3881567,5.9109416,0.032540575
9,Logistics Demand 2,logistics,111.49917,-1.3266475,4.945631,0.015027776
