name,address,lat,lon,charging_availability_id,total_connectors,available_connectors,occupied_connectors,reserved_connectors,unknown_connectors,out_of_service_connectors,max_power_kw
OK,"Gymnasievej 151, 4600 Køge",55.453172,12.162234,ed573b54-015e-4dae-ad71-dd88505cb7f3,4,2,2,0,0,0,40.0
OK,"Parkvej 51, 4600 Køge",55.45055,12.164646,cbde9e66-b014-46de-9178-001548615b4a,12,6,2,0,0,4,20.0
OK,"Marksvinget 19, 4600 Hastrup",55.448087,12.165222,c7e51a5b-35ef-4fa8-85a7-8a632a1bdb1c,2,0,2,0,0,0,40.0
Norlys,"Gymnasievej 27, 4600 Køge",55.45409,12.167143,d5b8b360-ed1b-4bde-bc95-8153af53d974,4,4,0,0,0,0,300.0
Circle K,"Vordingborgvej 9, 4600 Hastrup",55.446462,12.173246,fe189006-7766-4261-8a75-d3e50a86cd84,6,3,2,0,0,1,300.0
Norlys,"Kongsberg Allé 4, 4600 Køge",55.454384,12.174371,5f87f356-8448-4865-87b6-6e55b1cb7d5a,2,2,0,0,0,0,22.0
EWII,"Rasmussensvej 23, 4600 Hastrup",55.446232,12.175893,08ada6b1-d075-479a-9fba-facef0ce3649,2,0,1,0,1,0,22.0
OK,"Vestergade 25A, 4600 Køge",55.45643,12.177198,7daa37e4-e41b-4c7e-8607-f4ce240aee7a,2,0,1,0,0,1,75.0
EWII,"Ved Stadion 2B, 4600 Køge",55.466509,12.177414,58a179bd-525f-4c7d-bc17-4bfef44bbdb9,8,3,5,0,0,0,300.0
EWII,"Kongsberg Allé 4, 4600 Køge",55.453055,12.179146,2e46e76e-419e-4a83-a2d2-1ad0c2c8efeb,2,1,1,0,0,0,22.0
Clever,"Blegdammen 3, 4600 Køge",55.454567,12.179796,9bf5e5fe-f1af-46cf-9ad6-778db686f4fd,4,0,4,0,0,0,22.0
E.ON Drive,"Torvet 1, 4600 Køge",55.456691,12.180651,4878d3d8-3793-464d-b85c-28034c34429f,2,2,0,0,0,0,22.0
Q8,"Nørre Boulevard 50, 4600 Køge",55.463934,12.183875,34b70715-bf8c-8ff5-a15a-0f8e28b00615,2,1,1,0,0,0,200.0
Clever,"Nørregade 24G, 4600 Køge",55.458135,12.184379,1c8115ff-7e15-8ee9-a182-fc3f6e27f48f,7,4,3,0,0,0,22.0
Pair Recharge,"Toldbodvej 20, 4600 Køge",55.452,12.1851,,0,0,0,0,0,0,
EWII,"Toldbodvej 14, 4600 Køge",55.453787,12.185609,bc6771db-d9aa-42be-8687-eb3eca352f26,10,10,0,0,0,0,300.0
Clever,"Tangmosevej 95, 4600 Køge",55.471744,12.18579,38d12a26-0009-8b72-a99e-e0d411e9daf9,2,2,0,0,0,0,300.0
Clever,"Toldbodvej 19, 4600 Køge",55.451407,12.186305,3874ff00-6716-8aa6-b421-f8bfc6bdecd2,2,2,0,0,0,0,200.0
Clever,"Strandkvanen 6, 4600 Køge",55.452616,12.190943,0b6ce470-e300-887f-ab5e-e25289955edd,10,5,5,0,0,0,22.0
EWII,"Strandvejen 111, 4600 Køge",55.446805,12.192322,0124d2ba-1c59-8032-9b82-1ca6564b9730,10,7,3,0,0,0,240.0
