zone_id,label,type,x_km,y_km,base_demand,zone_scale
0,Grounded Zone 1,grounded_zone,-2.1,-1.75,6.3889136,-0.27671576
1,Grounded Zone 2,grounded_zone,-0.7,-1.75,4.4746723,-0.06969129
2,Grounded Zone 3,grounded_zone,0.7,-1.75,3.2722425,-0.048777558
3,Grounded Zone 4,grounded_zone,2.1,-1.75,2.2865853,0.06831282
4,Grounded Zone 5,grounded_zone,-3.5,0.0,7.51726,0.03309612
5,Grounded Zone 6,grounded_zone,-2.1,0.0,10.069396,0.11839626
6,Grounded Zone 7,grounded_zone,-0.7,0.0,9.175413,-0.092340454
7,Grounded Zone 8,grounded_zone,0.7,0.0,10.327771,0.042596593
8,Grounded Zone 9,grounded_zone,2.1,0.0,5.324272,0.1531978
9,Grounded Zone 10,grounded_zone,3.5,0.0,6.533221,0.3109484
10,Grounded Zone 11,grounded_zone,-2.1,1.75,7.597344,-0.3335628
11,Grounded Zone 12,grounded_zone,-0.7,1.75,3.3797202,0.39357454
12,Grounded Zone 13,grounded_zone,0.7,1.75,8.090261,0.32432947
13,Grounded Zone 14,grounded_zone,2.1,1.75,2.5284216,0.13956177
14,Grounded Zone 15,grounded_zone,2.87,0.0,6.226315,0.021951873
15,Grounded Zone 16,grounded_zone,2.6515343,1.0983014,3.6925683,-0.108296305
16,Grounded Zone 17,grounded_zone,2.0293965,2.0293965,6.1247168,0.29996824
17,Grounded Zone 18,grounded_zone,1.0983014,2.6515343,5.8000827,0.4639638
18,Grounded Zone 19,grounded_zone,1.7573681e-16,2.87,4.501228,0.4264288
19,Grounded Zone 20,grounded_zone,-1.0983014,2.6515343,5.775911,0.32734308
20,Grounded Zone 21,grounded_zone,-2.0293965,2.0293965,3.3159573,0.08850305
21,Grounded Zone 22,grounded_zone,-2.6515343,1.0983014,3.87609,-0.3053345
22,Grounded Zone 23,grounded_zone,-2.87,3.5147362e-16,8.029992,0.018871464
23,Grounded Zone 24,grounded_zone,-2.6515343,-1.0983014,6.8027725,0.15090252
24,Grounded Zone 25,grounded_zone,-2.0293965,-2.0293965,5.62868,-0.36686176
25,Grounded Zone 26,grounded_zone,-1.0983014,-2.6515343,5.0404816,0.0774942
26,Grounded Zone 27,grounded_zone,-5.2721046e-16,-2.87,8.4917145,0.085026376
27,Grounded Zone 28,grounded_zone,1.0983014,-2.6515343,6.70441,0.110705376
28,Grounded Zone 29,grounded_zone,2.0293965,-2.0293965,4.979276,-0.3710295
29,Grounded Zone 30,grounded_zone,2.6515343,-1.0983014,5.7785873,-0.21103804
