cluster_id,type,center_km,zone_indices,station_indices,num_zones,num_stations,total_connectors,available_connectors
1,mobile,"[-0.06612245738506317, 2.0814285278320312]","[0, 1, 2, 3, 4, 5, 6]",[],7,0,0,0
2,mobile,"[1.8051429986953735, 1.3159997463226318]","[7, 8, 12, 13, 14, 15, 23, 24, 25, 26]",[],10,0,0,0
3,fixed,"[-0.31362882256507874, 1.0750095844268799]","[9, 10, 11, 19, 20, 21, 22, 31, 32]","[87, 89, 91, 93, 94, 97, 98, 99, 100, 101, 102, 104, 105, 107, 108, 109, 110, 112, 113, 114, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157]",9,43,222,138
4,fixed,"[-1.5417687892913818, 0.4638179838657379]","[17, 18, 28, 29, 30, 40]","[18, 20, 25, 26, 60, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 86, 88, 132, 133, 134]",6,31,146,101
5,fixed,"[0.7764214873313904, 0.12289346009492874]","[33, 34, 44, 45, 55, 56]","[35, 36, 38, 39, 41, 43, 48, 49, 50, 51, 52, 53, 54, 55, 103, 106, 111, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131]",6,34,193,109
6,mobile,"[-2.429999828338623, -1.4901161193847656e-08]","[16, 27, 38, 49]",[],4,0,0,0
7,mobile,"[2.221714496612549, -0.04700000584125519]","[35, 36, 37, 46, 47, 48, 57, 58, 59]",[],9,0,0,0
8,fixed,"[-2.2237884998321533, -0.25216415524482727]","[39, 50, 51, 60, 61]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 56, 57, 58, 59, 61, 62]",5,19,95,64
9,fixed,"[-0.437846839427948, -0.3347025215625763]","[41, 42, 43, 52, 53, 54, 64, 65]","[13, 14, 15, 16, 17, 19, 21, 22, 23, 24, 27, 28, 29, 30, 31, 32, 33, 34, 37, 40, 42, 44, 45, 46, 47, 84, 85, 90, 92, 95, 96]",8,31,143,90
10,mobile,"[2.0497958660125732, -1.208571434020996]","[67, 68, 69, 70, 78, 79, 87]",[],7,0,0,0
11,mobile,"[-1.2034286260604858, -1.6449998617172241]","[62, 63, 71, 72, 73, 74, 80, 81, 82, 83, 88]",[],11,0,0,0
12,mobile,"[0.6364285945892334, -1.6449999809265137]","[66, 75, 76, 77, 84, 85, 86, 89]",[],8,0,0,0
