name,address,lat,lon,charging_availability_id,total_connectors,available_connectors,occupied_connectors,reserved_connectors,unknown_connectors,out_of_service_connectors,max_power_kw
EDF Danmark A/S,"Betty Nansens Allé 2C, 2000 Frederiksberg",55.669846,12.496478,5e4c75e0-8956-463e-8d86-eaed3c72ab37,4,3,1,0,0,0,22.0
E.ON Drive,"Helge Rodes Allé 6, 2000 Frederiksberg",55.670796,12.503492,d5ad0c70-5ed2-4023-9c03-68021fc5c34d,6,6,0,0,0,0,22.0
Clever,"Roskildevej 116, 2000 Frederiksberg",55.67265,12.498139,0545d650-d902-483c-89d8-b9def0fe19d3,8,7,1,0,0,0,22.0
Norlys,"Nordens Plads 2A, 2000 Frederiksberg",55.671949,12.502979,56591dab-64e9-4a7b-a5b8-6f9f89dac70f,4,1,2,0,1,0,300.0
E.ON Drive,"Rådmand Steins Allé 9, 2000 Frederiksberg",55.672932,12.500913,63d60166-0f5b-43bd-a004-c355e80040fb,6,6,0,0,0,0,22.0
EWII,"Roskildevej 91, 2000 Frederiksberg",55.672199,12.495947,7de118f1-d0b5-433b-9395-d0ac7a1dd935,6,2,4,0,0,0,400.0
Clever,"Borgmester Fischers Vej 4, 2000 Frederiksberg",55.6704,12.506894,0381d693-1dad-4d47-9239-d09291541b2b,6,6,0,0,0,0,22.0
Norlys,"Troels-Lunds Vej 4, 2000 Frederiksberg",55.675255,12.503851,1ddc7aac-de9c-48f4-90a7-1c108edc753a,4,3,1,0,0,0,22.0
Clever,"Joakim Larsens Vej 9A, 2000 Frederiksberg",55.674702,12.506552,b03cedbf-ff7a-4887-899e-9bf852481847,8,3,5,0,0,0,11.0
E.ON Drive,"Jens Jessens Vej, 2000 Frederiksberg",55.676567,12.498129,6bd9319f-b465-4ec7-b54f-73aed18d9a43,6,4,2,0,0,0,22.0
Spirii,"Borgmester Godskesens Plads 1, 2000 Frederiksberg",55.675354,12.506708,eb9c0ba8-1a2e-45ba-ac74-404e276ef41d,6,3,3,0,0,0,22.0
E.ON Drive,"Peter Bangs Vej 147, 2000 Frederiksberg",55.677639,12.494859,,0,0,0,0,0,0,
OK,"Hoffmeyersvej 5, 2000 Frederiksberg",55.678258,12.502642,042911fd-fdad-8f19-a965-3d7af09c77c6,8,7,1,0,0,0,40.0
E.ON Drive,"Azaleavej 11, 2000 Frederiksberg",55.67126,12.515427,e5a7d3f1-cb31-40d2-a467-7e093517665a,6,4,2,0,0,0,22.0
Clever,"Magnoliavej 3, 2000 Frederiksberg",55.669463,12.516521,7ed7239c-13ba-4b1e-870b-5af6e456f64e,4,1,3,0,0,0,22.0
DEAS A/S,"Roskildevej 37, 2000 Frederiksberg",55.671837,12.516309,,0,0,0,0,0,0,
Clever,"Bag Søndermarken 25, 2000 Frederiksberg",55.66769,12.520793,d3491970-3480-4d07-9296-5233c70a4962,8,5,3,0,0,0,22.0
Norlys,"Roskildevej 30, 2000 Frederiksberg",55.671633,12.523715,30f43ae6-f805-468e-a35a-827e9218169c,2,2,0,0,0,0,22.0
Clever,"Frederiksvej 37, 2000 Frederiksberg",55.675186,12.514315,995ef7df-f9ba-462c-92cc-31d9180f13c7,4,3,1,0,0,0,22.0
E.ON Drive,"Frederiksvej 2, 2000 Frederiksberg",55.675292,12.519278,248bd1bc-e660-435e-822d-46b8adfb70af,2,2,0,0,0,0,22.0
Clever,"Blytsvej 11, 2000 Frederiksberg",55.676973,12.513698,da73ebb9-924b-43b5-8738-0ca8ed71d67c,4,4,0,0,0,0,22.0
Drivee,"Søndre Fasanvej 49, 2000 Frederiksberg",55.676881,12.520843,3289278d-974c-8c04-adab-dae640e8a81c,4,2,0,0,2,0,11.0
drivee,"Søndre Fasanvej 41, 2000 Frederiksberg",55.677213,12.521036,,0,0,0,0,0,0,
drivee,"Søndre Fasanvej 65, 2000 Frederiksberg",55.677013,12.522251,,0,0,0,0,0,0,
OK,"Roskildevej 10, 2000 Frederiksberg",55.67104,12.529711,14ef7caa-423c-81c9-8229-6bfe9e533d2f,6,6,0,0,0,0,40.0
Clever,"Peter Bangs Vej 1, 2000 Frederiksberg",55.678563,12.516453,4ccd4198-bdc4-418d-9124-66efaaf20270,8,6,2,0,0,0,22.0
drivee,"Peter Bangs Vej 33A, 2000 Frederiksberg",55.678647,12.513443,,0,0,0,0,0,0,
Clever,"Bakkegårds Allé 2, 1804 Frederiksberg C",55.670512,12.532267,8723cfbd-7e60-4777-8cc3-543362a8d1cb,8,1,7,0,0,0,22.0
Spirii,"Rahbeks Allé 21, 1801 Frederiksberg C",55.668576,12.532891,e28a3154-0e83-433d-a403-f345962f7948,8,7,1,0,0,0,22.0
Spirii,"Jacobys Allé 13, 1806 Frederiksberg",55.672321,12.531783,bf0c4829-9efe-42bd-a64d-759787f77248,4,1,3,0,0,0,22.0
OK,"Pile Allé 45, 2000 Frederiksberg",55.668433,12.531062,1f9d1006-c2db-840f-927b-e76aa95ce535,6,4,2,0,0,0,40.0
EDF Danmark A/S,"Kochsvej 37, 1812 Frederiksberg",55.670609,12.537075,7162b455-dfb9-45c6-8355-ace107431dee,6,4,2,0,0,0,22.0
E.ON Drive,"Henrik Ibsens Vej 24, 1813 Frederiksberg",55.671965,12.538358,,0,0,0,0,0,0,
OK,"Henrik Ibsens Vej 24, 1813 Frederiksberg C",55.67184,12.538625,262be790-4c9b-85ed-88c4-8b6ed44cb8da,6,3,2,0,1,0,40.0
